Ballot ID,County,Candidate
1323913,Jefferson,Charles Casper Stockham
1005842,Jefferson,Charles Casper Stockham
1880345,Jefferson,Charles Casper Stockham
1600337,Jefferson,Charles Casper Stockham
1835994,Jefferson,Charles Casper Stockham
1772756,Jefferson,Charles Casper Stockham
1920023,Jefferson,Charles Casper Stockham
1040408,Jefferson,Charles Casper Stockham
7373154,Denver,Diana DeGette
6239430,Denver,Diana DeGette
7256147,Denver,Diana DeGette
6244073,Denver,Diana DeGette
6699375,Denver,Diana DeGette
5622385,Denver,Diana DeGette
6458965,Denver,Diana DeGette
7909124,Denver,Diana DeGette
7027441,Denver,Diana DeGette
5988133,Denver,Diana DeGette
5072424,Denver,Diana DeGette
6276926,Denver,Diana DeGette
4196905,Arapahoe,Raymon Anthony Doane
4299985,Arapahoe,Raymon Anthony Doane
4620283,Arapahoe,Raymon Anthony Doane
